tone	duration	order1	voice	order2	tonx	tony	abs.tone	rel.tone	tonx_m1	tony_m1	abs.tone_m1	rel.tone_m1	tonx_m2	tony_m2	abs.tone_m2	rel.tone_m2	tonx_p1	tony_p1	abs.tone_p1	rel.tone_p1	tonx_p2	tony_p2	abs.tone_p2	rel.tone_p2
Cs5	16	85	strings_v1	226	6	12	41	4	6	12	41	4	1	13	42	5	6	12	41	4	6	12	41	4
Cs5	16	85	strings_v1	227	6	12	41	4	6	12	41	4	6	12	41	4	6	12	41	4	6	12	41	4
Cs5	16	85	strings_v1	228	6	12	41	4	6	12	41	4	6	12	41	4	6	12	41	4	6	12	41	4
Cs5	16	85	strings_v1	229	6	12	41	4	6	12	41	4	6	12	41	4	6	12	41	4	6	12	41	4
Cs5	16	85	strings_v1	230	6	12	41	4	6	12	41	4	6	12	41	4	6	12	41	4	6	12	41	4
Cs5	16	85	strings_v1	231	6	12	41	4	6	12	41	4	6	12	41	4	6	12	41	4	6	12	41	4
Cs5	16	85	strings_v1	232	6	12	41	4	6	12	41	4	6	12	41	4	6	12	41	4	6	12	41	4
Cs5	16	85	strings_v1	233	6	12	41	4	6	12	41	4	6	12	41	4	6	12	41	4	6	12	41	4
Cs5	16	85	strings_v1	234	6	12	41	4	6	12	41	4	6	12	41	4	6	12	41	4	6	12	41	4
Cs5	16	85	strings_v1	235	6	12	41	4	6	12	41	4	6	12	41	4	6	12	41	4	6	12	41	4
Cs5	16	85	strings_v1	236	6	12	41	4	6	12	41	4	6	12	41	4	6	12	41	4	6	12	41	4
Cs5	16	85	strings_v1	237	6	12	41	4	6	12	41	4	6	12	41	4	6	12	41	4	6	12	41	4
Cs5	16	85	strings_v1	238	6	12	41	4	6	12	41	4	6	12	41	4	6	12	41	4	6	12	41	4
Cs5	16	85	strings_v1	239	6	12	41	4	6	12	41	4	6	12	41	4	6	12	41	4	1	13	42	5
Cs5	16	85	strings_v1	240	6	12	41	4	6	12	41	4	6	12	41	4	1	13	42	5	1	13	42	5
D5	8	87	strings_v1	241	1	13	42	5	6	12	41	4	6	12	41	4	1	13	42	5	1	13	42	5
D5	8	87	strings_v1	242	1	13	42	5	1	13	42	5	6	12	41	4	1	13	42	5	1	13	42	5
D5	8	87	strings_v1	243	1	13	42	5	1	13	42	5	1	13	42	5	1	13	42	5	1	13	42	5
D5	8	87	strings_v1	244	1	13	42	5	1	13	42	5	1	13	42	5	1	13	42	5	1	13	42	5
D5	8	87	strings_v1	245	1	13	42	5	1	13	42	5	1	13	42	5	1	13	42	5	1	13	42	5
D5	8	87	strings_v1	246	1	13	42	5	1	13	42	5	1	13	42	5	1	13	42	5	1	13	42	5
D5	8	87	strings_v1	247	1	13	42	5	1	13	42	5	1	13	42	5	1	13	42	5	5	9	30	5
D5	8	87	strings_v1	248	1	13	42	5	1	13	42	5	1	13	42	5	5	9	30	5	5	9	30	5
D4	2	89	strings_v1	253	5	9	30	5	1	13	42	5	1	13	42	5	5	9	30	5	5	9	30	5
D4	2	89	strings_v1	254	5	9	30	5	5	9	30	5	1	13	42	5	5	9	30	5	5	9	30	5
D4	2	91	strings_v1	255	5	9	30	5	5	9	30	5	5	9	30	5	5	9	30	5	5	9	30	5
D4	2	91	strings_v1	256	5	9	30	5	5	9	30	5	5	9	30	5	5	9	30	5	5	9	30	5
D4	8	93	strings_v1	257	5	9	30	5	5	9	30	5	5	9	30	5	5	9	30	5	5	9	30	5
D4	8	93	strings_v1	258	5	9	30	5	5	9	30	5	5	9	30	5	5	9	30	5	5	9	30	5
D4	8	93	strings_v1	259	5	9	30	5	5	9	30	5	5	9	30	5	5	9	30	5	5	9	30	5
D4	8	93	strings_v1	260	5	9	30	5	5	9	30	5	5	9	30	5	5	9	30	5	5	9	30	5
D4	8	93	strings_v1	261	5	9	30	5	5	9	30	5	5	9	30	5	5	9	30	5	5	9	30	5
D4	8	93	strings_v1	262	5	9	30	5	5	9	30	5	5	9	30	5	5	9	30	5	5	9	30	5
D4	8	93	strings_v1	263	5	9	30	5	5	9	30	5	5	9	30	5	5	9	30	5	5	9	30	5
D4	8	93	strings_v1	264	5	9	30	5	5	9	30	5	5	9	30	5	5	9	30	5	5	9	30	5
D4	2	96	strings_v1	269	5	9	30	5	5	9	30	5	5	9	30	5	5	9	30	5	5	9	30	5
D4	2	96	strings_v1	270	5	9	30	5	5	9	30	5	5	9	30	5	5	9	30	5	5	9	30	5
D4	2	97	strings_v1	271	5	9	30	5	5	9	30	5	5	9	30	5	5	9	30	5	5	9	30	5
D4	2	97	strings_v1	272	5	9	30	5	5	9	30	5	5	9	30	5	5	9	30	5	5	9	30	5
D4	8	99	strings_v1	273	5	9	30	5	5	9	30	5	5	9	30	5	5	9	30	5	5	9	30	5
D4	8	99	strings_v1	274	5	9	30	5	5	9	30	5	5	9	30	5	5	9	30	5	5	9	30	5
D4	8	99	strings_v1	275	5	9	30	5	5	9	30	5	5	9	30	5	5	9	30	5	5	9	30	5
D4	8	99	strings_v1	276	5	9	30	5	5	9	30	5	5	9	30	5	5	9	30	5	5	9	30	5
D4	8	99	strings_v1	277	5	9	30	5	5	9	30	5	5	9	30	5	5	9	30	5	5	9	30	5
